No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
1190,線,線,せん,line (like a train line),G2,N2,1
1192,選,選ぶ,えらぶ,to choose,G4,N3,1
1196,全,全部,ぜんぶ,all,G3,N3,1
1197,前,前,まえ,before,G2,N5,1
1199,然,自然,しぜん,nature,G4,N3,1
1211,組,組,ぐみ,team,G2,N3,1
1219,早,早い,はやい,early (get up early),G1,N4,1
1225,草,草,くさ,grass,G1,N3,1
1226,送,送る,おくる,send,G3,N4,1
1263,足,足,あし,leg feet,G1,N4,1
1272,族,家族,かそく,family,G3,N4,1
1276,卒,卒業する,そつぎょうする,to graduate ,G4,N2,1
1285,多,多い,おおい,many,G2,N4,1
1292,駄,駄目,だめ,bad,S,N1,1
1293,太,太,ふとる,fat,G2,N3,1
1295,体,体,からだ,body,G2,N4,1
1297,待,待つ,まつ,wait,G3,N4,1
1307,貸,貸す,かす,to lend,G5,N4,1
1312,大,大,おおき,big,G1,N5,1
1313,代,時代,じだい,era,G3,N4,1
1314,台,台所,だいどころ,kitchen,G2,N4,1
1316,題,宿題,しゅくだい,homework,G3,N4,1
1318,宅,自宅,じたく,ones home,G6,N3,1
1331,棚,棚,たな,shelf,S,N1,1
1334,旦,旦那,だんな,husband,S,N1,1
1341,短,短い,みじい,Short,G3,N2,1
1345,誕,誕生日,たんじょうび,birthday,G6,N1,1
1348,男,男,おとこ,boy,G1,N5,1
1355,地,地球,ちきゅう,earth,G2,N4,1
1356,池,池,いけ,pond,G2,N2,1
1357,知,知る,しる,to know,G2,N4,1
1373,茶,お茶,おちゃ,tea,G2,N4,1
1374,着,着る,きる,to wear,G3,N4,1
1376,中,中,なかま,middle,G1,N5,1
1378,虫,虫,むし,bug (casual),G1,N2,1
1384,昼,昼ご飯,ひるごはん,noon/lunch,G2,N4,1
1396,町,町,まち,town,G1,N4,1
1397,長,長い,ながい,long,G2,N5,1
1405,鳥,鳥,とり,bird,G2,N4,1
1406,朝,朝,あさ,morning,G2,N4,1
1437,低,低い,ひくい,low,G4,N2,1
1441,定,予定,よてい,plan,G3,N3,1
1449,庭,庭,にわ,garden,G3,N3,1
1460,的,的 (一般->一般的),てき (いっぱんー＞いっぱんてき）,ly (Typical -> Typically),G4,N1,1
1472,天,天国,てんごく,heaven,G1,N5,1
1474,店,店,みせ,shop,G2,N4,1
1475,点,点,てん,point,G2,N3,1
1478,転,自転車,じてんしゃ,bicycle,G3,N4,1
1480,田,田舎,いなか,countryside,G1,N4,1
1483,電,電気,でんき,electricity,G2,N5,1
1489,都,京都,きょうと,Kyoto (capital),G3,N3,1
1493,土,土/土曜日,つち/どようび,dirt/saturday,G1,N5,1
1496,度,今度,こんど,this time,G3,N4,1
1497,怒,怒る,おこる,to get mad,S,N3,1
1498,刀,刀,かたな,sword,G2,N1,1
1499,冬,冬,ふゆ,winter,G2,N4,1
1501,当,本当に？,ほんとうに？,really?,G2,N3,1
1503,豆,豆,まめ,bean,G3,N1,1
1504,東,東,ひがし,east,G2,N5,1
1510,島,島,しま,island,G3,N2,1
1511,桃,桃,もも,peach,S,N1,1
1524,答,答える,こたえる,to answer,G2,N4,1
1531,頭,頭,あたま,head,G2,N3,1
1536,同,同,おなじ,same,G2,N4,1
1542,道,道,みち,street/road,G2,N4,1
1549,特,特別,とくべつ,especially,G4,N4,1
1556,読,読む,よむ,to read,G2,N5,1
1558,凸,凸凹,でこぼこ,uneven surface,S,N1,1
1562,豚,豚,ぶた,pig,S,N1,1
1567,丼,牛丼,ぎゅうどん,bowl,S,N1,1
1570,内,内,うち,inside,G2,N3,1
1574,南,南,みなみ,south,G2,N5,1
1577,二,二/二つ,に/ふたつ,two,G1,N5,1
1580,匂,匂い,におい,smell,S,N1,1
1581,肉,肉,にく,meat,G2,N4,1
